"name","url","pattern"
"Сенина, Гармаш, Андреева: ОГЭ-2024. Русский язык. 30 тренировочных вариантов по демоверсии 2024 года. 9-й классОжидается .stat-qtip { top: 15px; position: absolute; left: -8px; width: 220px; z-index:2; opacity:0; animation: showqtip 6s ease-in-out 1s, showqtip2 6s ease-in-out 1s; transition: opacity .2s ease-in-out .2s; overflow:hidden; } .stat-qtip__hint { border-radius: 6px; display:block; font-size: 14px; font-weight:normal; line-height: 20px; padding: 6px 10px; position: absolute; background: #ffb900; color: #000; max-width: 250px; min-width: 120px; right: 0; top: 20px; } .stat-qtip__hint:before { border-radius: 2px; border-style: solid; border-width: 10px 14px 12px 12px; content: """"; position: absolute; top: -15px; border-color: transparent transparent #ffb900; left: 5px; } @keyframes showqtip{0%{opacity:0;}30%{opacity:1; }70%{opacity:1;}100%{opacity:0;}} @keyframes showqtip2{0%{overflow:visible;}99%{overflow:visible;}100%{overflow:hidden}} .prodtitle-availibility:hover .stat-qtip {opacity:1;overflow:visible} @media (max-width: 440px) { .stat-qtip { left: 26px; width: 100%; } } К сожалению, точные сроки поступления неизвестны. Отложите книгу, мы известим о начале продаж.","https://www.labirint.ru/books/980119/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Жиренко, Фурсова, Горлова: Тетрадь для печатания цифр и штрихования. Для детей 6–7 летНа складе","https://www.labirint.ru/books/980118/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Дмитрий Деопик: История Древнего Востока. Учебное пособиеНа складе","https://www.labirint.ru/books/980117/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Уассима Туария: Станьте оракулом. Магическое руководство по связи с божественным. 70 карт + брошюраНа складе Become an Oracle. A Magical Guide to Divine Connection","https://www.labirint.ru/books/980116/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Уассима Туария: Женское и мужское. Магическое руководство к божественному единению. 88 карт + брошюраНа складе The Ultimate Feminine & Masculine Pack, a magical guide to divine Union","https://www.labirint.ru/books/980115/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Аниша Диллон: Тантра - путь к блаженству. Как раскрыть природную сексуальность и обрести внутреннюю гармониюНа складе","https://www.labirint.ru/books/980114/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Шабшай, Шабшай: Как развить в ребенке харизму и гениальностьНа складе","https://www.labirint.ru/books/980113/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Алла Бородина: Основы религиозных культур и светской этики. Основы православной культуры. 4 класс. Рабочая тетрадьНа складе УМК Основы религиозных культур и светской этики. Основы православной культуры. 4 класс. Бородина А.В. Начальная инновационная школа","https://www.labirint.ru/books/980112/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Евгений Павлов: Знакомьтесь, Python. Секреты профессииНа складе","https://www.labirint.ru/books/980111/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Ярослава Богородская: Крампус, йольский кот и другие духи РождестваОжидается .stat-qtip { top: 15px; position: absolute; left: -8px; width: 220px; z-index:2; opacity:0; animation: showqtip 6s ease-in-out 1s, showqtip2 6s ease-in-out 1s; transition: opacity .2s ease-in-out .2s; overflow:hidden; } .stat-qtip__hint { border-radius: 6px; display:block; font-size: 14px; font-weight:normal; line-height: 20px; padding: 6px 10px; position: absolute; background: #ffb900; color: #000; max-width: 250px; min-width: 120px; right: 0; top: 20px; } .stat-qtip__hint:before { border-radius: 2px; border-style: solid; border-width: 10px 14px 12px 12px; content: """"; position: absolute; top: -15px; border-color: transparent transparent #ffb900; left: 5px; } @keyframes showqtip{0%{opacity:0;}30%{opacity:1; }70%{opacity:1;}100%{opacity:0;}} @keyframes showqtip2{0%{overflow:visible;}99%{overflow:visible;}100%{overflow:hidden}} .prodtitle-availibility:hover .stat-qtip {opacity:1;overflow:visible} @media (max-width: 440px) { .stat-qtip { left: 26px; width: 100%; } } К сожалению, точные сроки поступления неизвестны. Отложите книгу, мы известим о начале продаж.","https://www.labirint.ru/books/980110/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Альбина Матрикс: Матрица судьбы от А до Я","https://www.labirint.ru/books/980109/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Юрий Пичугин: Седьмое чувство - сверхспособность подсознания. Секреты дистанционного виденияОжидается .stat-qtip { top: 15px; position: absolute; left: -8px; width: 220px; z-index:2; opacity:0; animation: showqtip 6s ease-in-out 1s, showqtip2 6s ease-in-out 1s; transition: opacity .2s ease-in-out .2s; overflow:hidden; } .stat-qtip__hint { border-radius: 6px; display:block; font-size: 14px; font-weight:normal; line-height: 20px; padding: 6px 10px; position: absolute; background: #ffb900; color: #000; max-width: 250px; min-width: 120px; right: 0; top: 20px; } .stat-qtip__hint:before { border-radius: 2px; border-style: solid; border-width: 10px 14px 12px 12px; content: """"; position: absolute; top: -15px; border-color: transparent transparent #ffb900; left: 5px; } @keyframes showqtip{0%{opacity:0;}30%{opacity:1; }70%{opacity:1;}100%{opacity:0;}} @keyframes showqtip2{0%{overflow:visible;}99%{overflow:visible;}100%{overflow:hidden}} .prodtitle-availibility:hover .stat-qtip {opacity:1;overflow:visible} @media (max-width: 440px) { .stat-qtip { left: 26px; width: 100%; } } К сожалению, точные сроки поступления неизвестны. Отложите книгу, мы известим о начале продаж.","https://www.labirint.ru/books/980108/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Дарья Орлова: Только не с понедельника! Система мини-тренировок для тех, кто хочет подтянутое тело, молодое лицоОжидается .stat-qtip { top: 15px; position: absolute; left: -8px; width: 220px; z-index:2; opacity:0; animation: showqtip 6s ease-in-out 1s, showqtip2 6s ease-in-out 1s; transition: opacity .2s ease-in-out .2s; overflow:hidden; } .stat-qtip__hint { border-radius: 6px; display:block; font-size: 14px; font-weight:normal; line-height: 20px; padding: 6px 10px; position: absolute; background: #ffb900; color: #000; max-width: 250px; min-width: 120px; right: 0; top: 20px; } .stat-qtip__hint:before { border-radius: 2px; border-style: solid; border-width: 10px 14px 12px 12px; content: """"; position: absolute; top: -15px; border-color: transparent transparent #ffb900; left: 5px; } @keyframes showqtip{0%{opacity:0;}30%{opacity:1; }70%{opacity:1;}100%{opacity:0;}} @keyframes showqtip2{0%{overflow:visible;}99%{overflow:visible;}100%{overflow:hidden}} .prodtitle-availibility:hover .stat-qtip {opacity:1;overflow:visible} @media (max-width: 440px) { .stat-qtip { left: 26px; width: 100%; } } К сожалению, точные сроки поступления неизвестны. Отложите книгу, мы известим о начале продаж.","https://www.labirint.ru/books/980107/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Анна Читанава: Биохакинг. Дети. Пищевой блокбастер. Доказательная медицина и здоровье ребенкаНа складе","https://www.labirint.ru/books/980106/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Кейрин, Вакари: Амнея28. Две вечности. Обуздай потаенные страхиНа складе (ограниченное количество)","https://www.labirint.ru/books/980105/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Андрей Ткаленко: Нумерология - код жизни. Как числа влияют на вашу судьбуОжидается .stat-qtip { top: 15px; position: absolute; left: -8px; width: 220px; z-index:2; opacity:0; animation: showqtip 6s ease-in-out 1s, showqtip2 6s ease-in-out 1s; transition: opacity .2s ease-in-out .2s; overflow:hidden; } .stat-qtip__hint { border-radius: 6px; display:block; font-size: 14px; font-weight:normal; line-height: 20px; padding: 6px 10px; position: absolute; background: #ffb900; color: #000; max-width: 250px; min-width: 120px; right: 0; top: 20px; } .stat-qtip__hint:before { border-radius: 2px; border-style: solid; border-width: 10px 14px 12px 12px; content: """"; position: absolute; top: -15px; border-color: transparent transparent #ffb900; left: 5px; } @keyframes showqtip{0%{opacity:0;}30%{opacity:1; }70%{opacity:1;}100%{opacity:0;}} @keyframes showqtip2{0%{overflow:visible;}99%{overflow:visible;}100%{overflow:hidden}} .prodtitle-availibility:hover .stat-qtip {opacity:1;overflow:visible} @media (max-width: 440px) { .stat-qtip { left: 26px; width: 100%; } } К сожалению, точные сроки поступления неизвестны. Отложите книгу, мы известим о начале продаж.","https://www.labirint.ru/books/980104/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Максим Батманов: Фавориты – «темные лошадки» русской истории. От Малюты Скуратова до Лаврентия БерииНа складе","https://www.labirint.ru/books/980103/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Рина Рид: Скрытая угроза. Ошибки прошлогоНа складе","https://www.labirint.ru/books/980102/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Вышивка Кулон. Wonderday. ВитражНа складе","https://www.labirint.ru/books/980101/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
